[ 2017-05-03T16:56:33+08:00 ] 127.0.0.1 /member/account
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000135s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Run ShowRuntime Behavior [ RunTime:0.000214s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001078s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ view_end ] --START--
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Run ShowPageTrace Behavior [ RunTime:0.001336s ]
[ 2017-05-03T16:56:33+08:00 ] /member/account | INFO: Tag[ view_end ] --END-- [ RunTime:0.001393s ]

[ 2017-05-03T16:56:34+08:00 ] 127.0.0.1 /order/my_order_list
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Tag[ route_check ] --START--
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Run CheckRoute Behavior [ RunTime:0.000409s ]
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Tag[ route_check ] --END-- [ RunTime:0.000464s ]
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Tag[ app_begin ] --START--
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000269s ]
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000292s ]
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | NOTIC: [8] Undefined index: p OrderAction.class.php 第 150 行.
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | NOTIC: [8] Undefined index: common CommonAction.class.php 第 125 行.
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Tag[ view_template ] --START--
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Run LocationTemplate Behavior [ RunTime:0.000565s ]
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Tag[ view_template ] --END-- [ RunTime:0.000597s ]
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | INFO: Tag[ view_parse ] --START--
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-03T16:56:34+08:00 ] /order/my_order_list | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
